id,name,url,ownerId,ownerLogin,primaryLanguageId,primaryLanguageName,createdAt,stargazerCount,totalPullRequestsMerged
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,MDQ6VXNlcjUxMTQ2NjY=,ryanmcdermott,,,2016-11-25T22:25:41Z,73344,148
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,https://github.com/rust-lang/rust,MDEyOk9yZ2FuaXphdGlvbjU0MzA5MDU=,rust-lang,,,2010-06-16T20:39:03Z,72849,42988
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,https://github.com/huggingface/transformers,MDEyOk9yZ2FuaXphdGlvbjI1NzIwNzQz,huggingface,,,2018-10-29T13:56:00Z,71739,7421
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,MDQ6VXNlcjE1MzA4ODEx,MisterBooo,,,2018-12-06T08:01:22Z,71603,63
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,scrcpy,https://github.com/Genymobile/scrcpy,MDEyOk9yZ2FuaXphdGlvbjM0Mjc2Mjc=,Genymobile,,,2017-11-21T18:00:27Z,71312,61
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel,https://github.com/laravel/laravel,MDEyOk9yZ2FuaXphdGlvbjk1ODA3Mg==,laravel,,,2011-06-08T03:06:08Z,71155,1453
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,MDEyOk9yZ2FuaXphdGlvbjE1MDU2ODM=,FortAwesome,,,2012-02-17T14:19:43Z,70219,193
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,realworld,https://github.com/gothinkster/realworld,MDEyOk9yZ2FuaXphdGlvbjg2MDE3MzM=,gothinkster,,,2016-02-26T20:49:53Z,69394,234
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,advanced-java,https://github.com/doocs/advanced-java,MDEyOk9yZ2FuaXphdGlvbjQzNzE2NzE2,doocs,,,2018-10-06T11:38:30Z,66842,74
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django,https://github.com/django/django,MDEyOk9yZ2FuaXphdGlvbjI3ODA0,django,,,2012-04-28T02:47:18Z,66679,7694
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,FiraCode,https://github.com/tonsky/FiraCode,MDQ6VXNlcjI4NTI5Mg==,tonsky,,,2014-11-11T19:32:38Z,66633,124
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,awesome-vue,https://github.com/vuejs/awesome-vue,MDEyOk9yZ2FuaXphdGlvbjYxMjgxMDc=,vuejs,,,2015-10-20T00:16:14Z,66561,3354
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin,https://github.com/bitcoin/bitcoin,MDEyOk9yZ2FuaXphdGlvbjUyODg2MA==,bitcoin,,,2010-12-19T15:16:43Z,66415,12236
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love,https://github.com/papers-we-love/papers-we-love,MDEyOk9yZ2FuaXphdGlvbjYxODc3NTc=,papers-we-love,,,2013-12-15T14:31:41Z,64847,406
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby,https://github.com/moby/moby,MDEyOk9yZ2FuaXphdGlvbjI3MjU5MTk3,moby,,,2013-01-18T18:10:57Z,64209,17642
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv,https://github.com/opencv/opencv,MDEyOk9yZ2FuaXphdGlvbjUwMDk5MzQ=,opencv,,,2012-07-19T09:40:17Z,64145,10786
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,json-server,https://github.com/typicode/json-server,MDQ6VXNlcjU1MDIwMjk=,typicode,,,2013-11-27T13:21:13Z,63646,100
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-boot,https://github.com/spring-projects/spring-boot,MDEyOk9yZ2FuaXphdGlvbjMxNzc3Ng==,spring-projects,,,2012-10-19T15:02:57Z,63484,41
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin,https://github.com/gin-gonic/gin,MDEyOk9yZ2FuaXphdGlvbjc4OTQ0Nzg=,gin-gonic,,,2014-06-16T23:57:25Z,63399,858
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,MDEyOk9yZ2FuaXphdGlvbjMzMDUzMDc0,mtdvio,,,2017-08-24T13:18:26Z,63290,86
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,https://github.com/gohugoio/hugo,MDEyOk9yZ2FuaXphdGlvbjI5Mzg1MjM3,gohugoio,,,2013-07-04T15:26:26Z,62851,1790
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,svelte,https://github.com/sveltejs/svelte,MDEyOk9yZ2FuaXphdGlvbjIzNjE3OTYz,sveltejs,,,2016-11-20T18:13:05Z,62530,2429
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,MDQ6VXNlcjIzNzIyOQ==,thedaviddias,,,2017-10-16T10:12:36Z,62193,172
MDEwOlJlcG9zaXRvcnkxODYxNDU4,reveal.js,https://github.com/hakimel/reveal.js,MDQ6VXNlcjYyOTQyOQ==,hakimel,,,2011-06-07T18:54:22Z,62165,365
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,https://github.com/webpack/webpack,MDEyOk9yZ2FuaXphdGlvbjIxMDU3OTE=,webpack,,,2012-03-10T10:08:14Z,61886,4180
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm,https://github.com/nvm-sh/nvm,MDEyOk9yZ2FuaXphdGlvbjQ5OTYzNzAw,nvm-sh,,,2010-04-15T17:47:47Z,61428,664
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,mall,https://github.com/macrozheng/mall,MDQ6VXNlcjE1OTAzODA5,macrozheng,,,2018-04-04T01:11:44Z,61391,0
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elasticsearch,https://github.com/elastic/elasticsearch,MDEyOk9yZ2FuaXphdGlvbjY3NjQzOTA=,elastic,,,2010-02-08T13:20:56Z,61383,51413
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindcss,https://github.com/tailwindlabs/tailwindcss,MDEyOk9yZ2FuaXphdGlvbjY3MTA5ODE1,tailwindlabs,,,2017-10-06T14:59:14Z,61175,1525
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata,https://github.com/netdata/netdata,MDEyOk9yZ2FuaXphdGlvbjQzMzkwNzgx,netdata,,,2013-06-17T18:39:10Z,60818,5786
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swift,https://github.com/apple/swift,MDEyOk9yZ2FuaXphdGlvbjEwNjM5MTQ1,apple,,,2015-10-23T21:15:07Z,60803,39372
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,flask,https://github.com/pallets/flask,MDEyOk9yZ2FuaXphdGlvbjE2NzQ4NTA1,pallets,,,2010-04-06T11:11:59Z,60744,1405
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,frp,https://github.com/fatedier/frp,MDQ6VXNlcjczNDY2NjE=,fatedier,,,2015-12-21T15:24:59Z,60650,394
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,free-for-dev,https://github.com/ripienaar/free-for-dev,MDQ6VXNlcjgyMzQy,ripienaar,,,2015-03-18T21:06:26Z,60468,1970
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,MDQ6VXNlcjgyNTU4MDA=,521xueweihan,,,2016-05-04T06:24:11Z,59982,14
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch,https://github.com/pytorch/pytorch,MDEyOk9yZ2FuaXphdGlvbjIxMDAzNzEw,pytorch,,,2016-08-13T05:26:41Z,59427,5189
MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular.js,https://github.com/angular/angular.js,MDEyOk9yZ2FuaXphdGlvbjEzOTQyNg==,angular,,,2010-01-06T00:34:37Z,59376,789
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,redux,https://github.com/reduxjs/redux,MDEyOk9yZ2FuaXphdGlvbjEzMTQyMzIz,reduxjs,,,2015-05-29T23:53:15Z,58731,1551
